steps,rollout,mean_return,mean_episode_length,policy_loss,value_loss,entropy,sr_loss,grad_norm
67840,265,-143.0133,10000.0,0.023637,0.027044,1.096244,0.005934,0.218325
68096,266,-143.0133,10000.0,0.159188,0.065149,1.096477,0.006224,1.454306
68352,267,-143.0133,10000.0,0.189256,0.104573,1.096616,0.005905,1.715044
68608,268,-143.0133,10000.0,-0.044962,0.002639,1.096898,0.005784,0.411118
68864,269,-143.0133,10000.0,-0.060429,0.00684,1.09702,0.006397,0.547873
69120,270,-143.0133,10000.0,0.081004,0.046949,1.096956,0.006207,0.738742
69376,271,-143.0133,10000.0,-0.057806,0.005655,1.096892,0.006076,0.525986
69632,272,-143.0133,10000.0,-0.07154,0.005398,1.096955,0.005992,0.646724
69888,273,-143.0133,10000.0,-0.009689,0.000845,1.096642,0.005657,0.099668
70144,274,-142.0743,10000.0,0.0825,0.024799,1.096355,0.06686,0.803337
70400,275,-142.0743,10000.0,0.119383,0.060082,1.095638,0.005851,1.084014
70656,276,-142.0743,10000.0,0.000619,0.001171,1.095024,0.00588,0.036243
70912,277,-142.0743,10000.0,0.118724,0.05992,1.094488,0.005768,1.086668
71168,278,-142.0743,10000.0,-0.035386,0.001988,1.093748,0.00593,0.325839
71424,279,-142.0743,10000.0,0.044209,0.044303,1.093319,0.005698,0.402866
71680,280,-142.0743,10000.0,-0.089457,0.008606,1.09315,0.005571,0.812854
71936,281,-142.0743,10000.0,0.132621,0.114364,1.093066,0.005684,1.19189
72192,282,-142.0743,10000.0,-0.075508,0.007159,1.093455,0.005849,0.700513
72448,283,-142.0743,10000.0,0.030326,0.0504,1.094414,0.006066,0.274769
72704,284,-142.0743,10000.0,0.011813,0.042114,1.095454,0.005997,0.115579
72960,285,-142.0743,10000.0,-0.149417,0.022335,1.096284,0.005566,1.349968
73216,286,-142.0743,10000.0,-0.130775,0.015061,1.096733,0.005608,1.183857
73472,287,-142.0743,10000.0,0.013317,0.036868,1.096744,0.00579,0.125087
73728,288,-142.0743,10000.0,-0.105948,0.010238,1.09674,0.005542,0.958727
73984,289,-142.0743,10000.0,-0.078568,0.00808,1.096551,0.005715,0.711519
74240,290,-142.0743,10000.0,-0.048842,0.003173,1.096388,0.005626,0.44885
74496,291,-142.0743,10000.0,-0.013919,0.002075,1.096257,0.005427,0.128262
74752,292,-142.0743,10000.0,0.149863,0.063065,1.096166,0.00575,1.367322
75008,293,-142.0743,10000.0,0.053461,0.003106,1.095865,0.005571,0.484065
75264,294,-142.0743,10000.0,0.165798,0.063357,1.095794,0.005504,1.51078
75520,295,-142.0743,10000.0,0.077986,0.006264,1.095651,0.005634,0.717859
75776,296,-142.0743,10000.0,0.030482,0.001901,1.095046,0.005494,0.281389
76032,297,-142.0743,10000.0,0.032777,0.001967,1.094279,0.005417,0.300481
76288,298,-142.0743,10000.0,-0.013735,0.001247,1.093421,0.005393,0.127733
76544,299,-142.0743,10000.0,0.091539,0.057131,1.092657,0.005463,0.831577
76800,300,-142.0743,10000.0,-0.111302,0.014675,1.092279,0.00587,1.004039
77056,301,-142.0743,10000.0,-0.085205,0.007497,1.091584,0.005222,0.776223
77312,302,-142.0743,10000.0,0.056825,0.052612,1.090946,0.005465,0.517343
77568,303,-142.0743,10000.0,0.065202,0.054353,1.09043,0.005397,0.600588
77824,304,-142.0743,10000.0,0.003332,0.046167,1.089913,0.005387,0.050654
78080,305,-142.0743,10000.0,-0.132336,0.018558,1.08951,0.005247,1.205329
78336,306,-142.0743,10000.0,-0.020127,0.061931,1.089128,0.00574,0.187779
78592,307,-142.0743,10000.0,-0.176815,0.030359,1.089002,0.005757,1.59986
78848,308,-142.0743,10000.0,-0.137543,0.017159,1.088639,0.005272,1.249308
79104,309,-142.0743,10000.0,-0.119111,0.013695,1.088286,0.005691,1.097552
79360,310,-142.0743,10000.0,-0.08628,0.007079,1.088376,0.005191,0.788794
79616,311,-142.0743,10000.0,-0.053999,0.003525,1.088531,0.005302,0.492328
79872,312,-142.0743,10000.0,-0.000667,0.000653,1.08859,0.005169,0.029715
80128,313,-142.7488,10000.0,0.123511,0.029551,1.088949,0.067501,1.15793
80384,314,-142.7488,10000.0,0.206514,0.073414,1.089187,0.005257,1.866325
80640,315,-142.7488,10000.0,0.233962,0.088002,1.08998,0.005531,2.167987
80896,316,-142.7488,10000.0,0.028508,0.002038,1.090232,0.005648,0.27165
81152,317,-142.7488,10000.0,0.149279,0.058648,1.090602,0.005411,1.357138
81408,318,-142.7488,10000.0,0.057326,0.004201,1.09095,0.005609,0.531043
81664,319,-142.7488,10000.0,0.024441,0.001723,1.090672,0.005275,0.225064
81920,320,-142.7488,10000.0,0.113876,0.058351,1.090692,0.005511,1.037173
82176,321,-142.7488,10000.0,-0.060758,0.005214,1.09067,0.005104,0.55351
82432,322,-142.7488,10000.0,-0.052982,0.003938,1.090692,0.005168,0.489066
82688,323,-142.7488,10000.0,-0.104758,0.010241,1.091092,0.005216,0.948804
82944,324,-142.7488,10000.0,-0.082697,0.008526,1.090995,0.005745,0.76415
83200,325,-142.7488,10000.0,0.072331,0.064032,1.091242,0.005279,0.668717
83456,326,-142.7488,10000.0,-0.103178,0.010757,1.090937,0.005029,0.93435
83712,327,-142.7488,10000.0,-0.051833,0.003357,1.090347,0.005338,0.47777
83968,328,-142.7488,10000.0,-0.022156,0.001797,1.090321,0.00511,0.204451
84224,329,-142.7488,10000.0,-0.051934,0.0052,1.090546,0.005882,0.471184
84480,330,-142.7488,10000.0,0.350446,0.224715,1.090631,0.005162,3.191893
84736,331,-142.7488,10000.0,0.293302,0.171391,1.090625,0.00551,2.685148
84992,332,-142.7488,10000.0,0.055976,0.00362,1.090164,0.005027,0.511646
85248,333,-142.7488,10000.0,0.03452,0.00219,1.089792,0.005512,0.323935
85504,334,-142.7488,10000.0,0.136509,0.057118,1.089207,0.005164,1.228562
85760,335,-142.7488,10000.0,-0.025823,0.001729,1.089179,0.004993,0.236874
86016,336,-142.7488,10000.0,-0.041519,0.002267,1.089368,0.0049,0.380439
86272,337,-142.7488,10000.0,0.107988,0.050152,1.089618,0.004898,0.976503
86528,338,-142.7488,10000.0,-0.070853,0.005314,1.090014,0.004969,0.642659
86784,339,-142.7488,10000.0,-0.065524,0.004739,1.090456,0.004908,0.588197
87040,340,-142.7488,10000.0,-0.056024,0.004566,1.090413,0.005023,0.511537
