steps,rollout,stage,mean_return,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
215040,210,1,42.8037,5227.0,-0.0,0.402754,0.990633,0.119238
216064,211,1,42.8037,5227.0,-0.0,0.322495,0.991174,0.020524
217088,212,1,42.8037,5227.0,0.0,0.283421,0.991247,0.040042
218112,213,1,42.8037,5227.0,0.0,0.239264,0.990677,0.026794
219136,214,1,42.7225,5201.5,-0.0,0.405773,0.991157,0.1103
220160,215,1,42.7225,5201.5,-0.0,0.294008,0.991035,0.022628
221184,216,1,42.7225,5201.5,-0.0,0.217033,0.990979,0.024805
222208,217,1,42.7225,5201.5,0.0,0.30295,0.990361,0.054928
223232,218,1,42.7225,5201.5,-0.0,0.206998,0.991693,0.06254
224256,219,1,42.6816,5191.9,0.0,0.263442,0.991156,0.032569
225280,220,1,42.6816,5191.9,0.0,0.333764,0.990281,0.084057
226304,221,1,42.6816,5191.9,-0.0,0.372325,0.99059,0.016675
227328,222,1,42.6816,5191.9,0.0,0.264969,0.990685,0.018424
228352,223,1,42.6036,5177.6,0.0,0.342929,0.990949,0.05103
229376,224,1,42.6036,5177.6,0.0,0.259442,0.991068,0.017416
230400,225,1,42.6036,5177.6,-0.0,0.212391,0.991147,0.078157
231424,226,1,42.6036,5177.6,0.0,0.207996,0.990039,0.049663
232448,227,1,42.6036,5177.6,-0.0,0.234668,0.99018,0.01768
233472,228,1,42.6036,5177.6,-0.0,0.286342,0.99016,0.035111
234496,229,1,42.6306,5190.7,-0.0,0.296351,0.990483,0.081375
235520,230,1,42.6306,5190.7,0.0,0.487391,0.990773,0.083579
236544,231,1,42.6306,5190.7,0.0,0.18944,0.990262,0.083498
237568,232,1,42.6306,5190.7,0.0,0.235506,0.991291,0.075038
238592,233,1,42.5578,5178.3,-0.0,0.176548,0.990133,0.073674
239616,234,1,42.5578,5178.3,-0.0,0.229392,0.990909,0.026469
240640,235,1,42.5578,5178.3,-0.0,0.334139,0.990457,0.080412
241664,236,1,42.5578,5178.3,-0.0,0.202392,0.990826,0.089454
242688,237,1,42.5578,5178.3,-0.0,0.277298,0.990787,0.055908
243712,238,1,42.5522,5177.2,-0.0,0.201032,0.990233,0.012915
244736,239,1,42.5522,5177.2,-0.0,0.244786,0.990464,0.026014
245760,240,1,42.5522,5177.2,0.0,0.205582,0.991091,0.018993
246784,241,1,42.5522,5177.2,-0.0,0.253362,0.990766,0.043273
247808,242,1,42.5522,5177.2,-0.0,0.288972,0.990653,0.029039
248832,243,1,42.6033,5182.5,0.0,0.172662,0.990086,0.01595
249856,244,1,42.6033,5182.5,-0.0,0.275868,0.99079,0.03559
250880,245,1,42.6033,5182.5,0.0,0.34474,0.990393,0.083956
251904,246,1,42.6033,5182.5,0.0,0.306991,0.991404,0.016703
252928,247,1,42.6033,5182.5,0.0,0.274687,0.99032,0.044549
253952,248,1,42.5336,5171.3,-0.0,0.261079,0.99082,0.040197
254976,249,1,42.5336,5171.3,-0.0,0.20794,0.990131,0.02088
