steps,rollout,mean_return,mean_accuracy,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
6912,108,0.0,0.0,0.0,-0.0,0.000154,1.098612,0.017624
6976,109,0.0,0.0,0.0,-0.0,6.6e-05,1.098612,0.004572
7040,110,0.0,0.0,0.0,-0.0,4.4e-05,1.098612,0.007715
7104,111,0.0,0.0,0.0,-0.0,7e-05,1.098612,0.011501
7168,112,0.0,0.0,0.0,0.0,0.000744,1.098612,0.064714
7232,113,0.0,0.0,0.0,0.0,0.000215,1.098612,0.00438
7296,114,0.0,0.0,0.0,0.0,0.000104,1.098612,0.016525
7360,115,0.0,0.0,0.0,-0.0,0.113904,1.098612,0.315982
7424,116,0.0,0.0,0.0,0.0,8.9e-05,1.098612,0.012843
7488,117,0.0,0.0,0.0,-0.0,8.6e-05,1.098612,0.005091
7552,118,0.0,0.0,0.0,-0.0,0.000171,1.098612,0.026097
7616,119,0.0,0.0,0.0,0.0,0.000172,1.098612,0.022762
7680,120,0.0,0.0,0.0,0.0,0.000349,1.098612,0.038703
7744,121,0.0,0.0,0.0,0.0,0.361518,1.098612,1.109613
7808,122,0.0,0.0,0.0,-0.0,0.000253,1.098612,0.027855
7872,123,0.0,0.0,0.0,0.0,0.00013,1.098612,0.00933
7936,124,0.0,0.0,0.0,0.0,0.000335,1.098612,0.032318
8000,125,0.0,0.0,0.0,0.0,0.000577,1.098612,0.045026
8064,126,0.0,0.0,0.0,0.0,0.003153,1.098612,0.14084
8128,127,0.0,0.0,0.0,-0.0,0.000776,1.098612,0.06157
8192,128,0.0,0.0,0.0,0.0,0.001035,1.098612,0.072042
8256,129,0.0,0.0,0.0,0.0,0.000297,1.098612,0.01771
8320,130,0.0,0.0,0.0,0.0,0.000523,1.098612,0.018029
8384,131,0.0,0.0,0.0,-0.0,0.004176,1.098612,0.130506
8448,132,0.0,0.0,0.0,-0.0,0.000832,1.098612,0.060219
8512,133,0.0,0.0,0.0,0.0,0.001344,1.098612,0.083631
8576,134,0.0,0.0,0.0,0.0,0.00051,1.098612,0.045079
8640,135,0.0,0.0,0.0,-0.0,0.293147,1.098612,0.831839
8704,136,0.0,0.0,0.0,0.0,0.000574,1.098612,0.045912
8768,137,0.0,0.0,0.0,-0.0,0.001775,1.098612,0.08334
8832,138,0.0,0.0,0.0,-0.0,0.000721,1.098612,0.014167
8896,139,0.0,0.0,0.0,0.0,0.000734,1.098612,0.061941
8960,140,0.0,0.0,0.0,0.0,0.00043,1.098612,0.035914
9024,141,0.0,0.0,0.0,-0.0,0.000328,1.098612,0.034704
9088,142,0.0,0.0,0.0,0.0,0.002813,1.098612,0.120092
9152,143,0.0,0.0,0.0,-0.0,0.000113,1.098612,0.007543
9216,144,0.0,0.0,0.0,-0.0,0.00201,1.098612,0.096629
9280,145,0.0,0.0,0.0,0.0,0.000926,1.098612,0.076136
9344,146,0.0,0.0,0.0,0.0,0.000189,1.098612,0.012684
9408,147,0.0,0.0,0.0,-0.0,9.9e-05,1.098612,0.012964
9472,148,0.0,0.0,0.0,-0.0,0.000314,1.098612,0.034694
9536,149,0.0,0.0,0.0,0.0,6.3e-05,1.098612,0.007347
9600,150,0.0,0.0,0.0,0.0,0.000233,1.098612,0.006913
9664,151,0.0,0.0,0.0,-0.0,9.6e-05,1.098612,0.014948
9728,152,0.0,0.0,0.0,-0.0,0.000303,1.098612,0.029162
9792,153,0.0,0.0,0.0,-0.0,0.000159,1.098612,0.01974
9856,154,0.0,0.0,0.0,0.0,0.000243,1.098612,0.027294
9920,155,0.0,0.0,0.0,0.0,0.000125,1.098612,0.010905
9984,156,0.0,0.0,0.0,-0.0,8.7e-05,1.098612,0.003013
10048,157,11.0,0.5238,10000.0,-0.0,0.000103,1.098612,0.008237
10112,158,11.0,0.5238,10000.0,0.0,8.8e-05,1.098612,0.01307
10176,159,11.0,0.5238,10000.0,-0.0,0.000248,1.098612,0.004933
10240,160,11.0,0.5238,10000.0,-0.0,2.8e-05,1.098612,0.002804
10304,161,11.0,0.5238,10000.0,0.0,0.000546,1.098612,0.049893
10368,162,11.0,0.5238,10000.0,-0.0,0.186066,1.098612,0.524213
10432,163,11.0,0.5238,10000.0,-0.0,0.000171,1.098612,0.016077
10496,164,11.0,0.5238,10000.0,-0.0,6.7e-05,1.098612,0.003623
10560,165,11.0,0.5238,10000.0,-0.0,0.000415,1.098612,0.022378
10624,166,11.0,0.5238,10000.0,-0.0,0.000217,1.098612,0.026686
10688,167,11.0,0.5238,10000.0,0.0,0.000293,1.098612,0.010534
10752,168,11.0,0.5238,10000.0,-0.0,0.000101,1.098612,0.008062
10816,169,11.0,0.5238,10000.0,0.0,0.002889,1.098612,0.119982
10880,170,11.0,0.5238,10000.0,-0.0,0.000246,1.098612,0.012971
10944,171,11.0,0.5238,10000.0,0.0,0.001471,1.098612,0.060972
11008,172,11.0,0.5238,10000.0,0.0,0.000861,1.098612,0.069606
11072,173,11.0,0.5238,10000.0,0.0,0.000137,1.098612,0.008306
11136,174,11.0,0.5238,10000.0,-0.0,0.000337,1.098612,0.02681
11200,175,11.0,0.5238,10000.0,-0.0,0.000627,1.098612,0.039195
11264,176,11.0,0.5238,10000.0,-0.0,0.000469,1.098612,0.041203
11328,177,11.0,0.5238,10000.0,-0.0,0.002136,1.098612,0.106313
11392,178,11.0,0.5238,10000.0,-0.0,0.000222,1.098612,0.02843
11456,179,11.0,0.5238,10000.0,0.0,0.000282,1.098612,0.020848
11520,180,11.0,0.5238,10000.0,-0.0,0.0003,1.098612,0.009659
11584,181,11.0,0.5238,10000.0,-0.0,0.000112,1.098612,0.017726
11648,182,11.0,0.5238,10000.0,0.0,8.4e-05,1.098612,0.010567
11712,183,11.0,0.5238,10000.0,-0.0,0.522447,1.098612,1.591632
11776,184,11.0,0.5238,10000.0,-0.0,0.002023,1.098612,0.081527
11840,185,11.0,0.5238,10000.0,-0.0,0.000269,1.098612,0.030095
11904,186,11.0,0.5238,10000.0,0.0,0.000112,1.098612,0.016479
11968,187,11.0,0.5238,10000.0,0.0,7.3e-05,1.098612,0.007259
12032,188,11.0,0.5238,10000.0,-0.0,0.182617,1.098612,0.496104
12096,189,11.0,0.5238,10000.0,0.0,0.000804,1.098612,0.046268
12160,190,11.0,0.5238,10000.0,-0.0,0.000795,1.098612,0.061168
