steps,rollout,mean_return,mean_accuracy,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
30208,118,15.3333,0.539,10000.0,0.206441,0.104838,1.098533,0.194792
30464,119,15.3333,0.539,10000.0,-1.476824,0.006509,1.098528,0.195755
30720,120,15.3333,0.539,10000.0,-2.588216,0.006948,1.098528,0.267582
30976,121,15.3333,0.539,10000.0,-1.959757,0.007578,1.098518,0.272804
31232,122,15.3333,0.539,10000.0,-1.229987,0.010594,1.09852,0.224839
31488,123,15.3333,0.539,10000.0,-1.133067,0.00402,1.098521,0.156456
31744,124,15.3333,0.539,10000.0,-1.362913,0.001916,1.098524,0.15725
32000,125,15.3333,0.539,10000.0,1.053697,0.166965,1.098518,0.771338
32256,126,15.3333,0.539,10000.0,-0.820616,0.001942,1.098502,0.112392
32512,127,15.3333,0.539,10000.0,-0.881008,0.002314,1.098511,0.17402
32768,128,15.3333,0.539,10000.0,1.300554,0.226153,1.098525,1.029761
33024,129,15.3333,0.539,10000.0,-0.445465,0.001307,1.098497,0.042431
33280,130,15.3333,0.539,10000.0,1.314443,0.138634,1.098499,0.83783
33536,131,15.3333,0.539,10000.0,-1.157823,0.003626,1.098507,0.140854
33792,132,15.3333,0.539,10000.0,-1.019943,0.002942,1.098496,0.13093
34048,133,15.3333,0.539,10000.0,-1.22995,0.009199,1.098501,0.211559
34304,134,15.3333,0.539,10000.0,-0.801946,0.005217,1.098499,0.153555
34560,135,15.3333,0.539,10000.0,-0.386564,0.004763,1.098496,0.070473
34816,136,15.3333,0.539,10000.0,-0.831464,0.003853,1.098483,0.108362
35072,137,15.3333,0.539,10000.0,0.686956,0.122832,1.098511,0.514543
35328,138,15.3333,0.539,10000.0,-0.533461,0.000833,1.098475,0.040928
35584,139,15.3333,0.539,10000.0,-1.642288,0.00414,1.09848,0.170792
35840,140,15.3333,0.539,10000.0,-0.486325,0.005777,1.098502,0.084666
36096,141,15.3333,0.539,10000.0,0.0109,0.053015,1.098498,0.031103
36352,142,15.3333,0.539,10000.0,-1.570625,0.006512,1.098495,0.196021
36608,143,15.3333,0.539,10000.0,-0.997443,0.004046,1.098472,0.134862
36864,144,15.3333,0.539,10000.0,0.220593,0.001375,1.09847,0.025129
37120,145,15.3333,0.539,10000.0,-1.310502,0.005656,1.098476,0.189258
37376,146,15.3333,0.539,10000.0,-0.468069,0.001464,1.09848,0.063062
37632,147,15.3333,0.539,10000.0,-0.660966,0.002316,1.098478,0.076575
37888,148,15.3333,0.539,10000.0,-2.251508,0.006929,1.098489,0.218514
38144,149,15.3333,0.539,10000.0,0.177948,0.000458,1.098475,0.021718
38400,150,15.3333,0.539,10000.0,-0.910963,0.00506,1.098473,0.125067
38656,151,15.3333,0.539,10000.0,1.113622,0.17056,1.098476,0.797877
38912,152,15.3333,0.539,10000.0,-1.82102,0.005156,1.098483,0.269101
39168,153,15.3333,0.539,10000.0,1.093211,0.175953,1.098489,0.844628
39424,154,15.3333,0.539,10000.0,0.005898,0.001454,1.098469,0.010047
39680,155,15.3333,0.539,10000.0,-0.594195,0.002055,1.098495,0.058749
39936,156,15.3333,0.539,10000.0,0.00359,0.003384,1.098475,0.0201
40192,157,13.75,0.4942,10000.0,0.979361,0.1478,1.098499,0.686226
40448,158,13.75,0.4942,10000.0,-0.967371,0.002532,1.098488,0.120449
40704,159,13.75,0.4942,10000.0,0.178486,0.000518,1.098487,0.013185
40960,160,13.75,0.4942,10000.0,-0.411422,0.002664,1.098517,0.049469
41216,161,13.75,0.4942,10000.0,-0.81034,0.002817,1.098484,0.090162
41472,162,13.75,0.4942,10000.0,0.90159,0.261126,1.098511,0.869037
41728,163,13.75,0.4942,10000.0,-1.660904,0.003836,1.098502,0.207753
41984,164,13.75,0.4942,10000.0,-0.695873,0.001144,1.098498,0.107446
42240,165,13.75,0.4942,10000.0,-0.366758,0.019406,1.098536,0.124083
42496,166,13.75,0.4942,10000.0,-0.845529,0.00371,1.098498,0.104605
42752,167,13.75,0.4942,10000.0,1.121046,0.188847,1.098515,0.837614
43008,168,13.75,0.4942,10000.0,-0.600339,0.003162,1.098509,0.077003
43264,169,13.75,0.4942,10000.0,1.042804,0.145878,1.098518,0.73511
43520,170,13.75,0.4942,10000.0,0.508697,0.114074,1.098532,0.378759
43776,171,13.75,0.4942,10000.0,-1.728047,0.004895,1.098515,0.191416
44032,172,13.75,0.4942,10000.0,-2.505512,0.004155,1.098511,0.24965
44288,173,13.75,0.4942,10000.0,-1.251625,0.004832,1.098504,0.141048
44544,174,13.75,0.4942,10000.0,-2.331839,0.007094,1.098507,0.218888
44800,175,13.75,0.4942,10000.0,0.414002,0.098327,1.098531,0.290975
45056,176,13.75,0.4942,10000.0,-1.672453,0.009722,1.098494,0.252895
45312,177,13.75,0.4942,10000.0,-1.873185,0.006723,1.098478,0.207378
45568,178,13.75,0.4942,10000.0,1.146123,0.197502,1.098511,0.839419
45824,179,13.75,0.4942,10000.0,-1.579456,0.008827,1.098447,0.216324
46080,180,13.75,0.4942,10000.0,-2.620328,0.010492,1.09848,0.265766
46336,181,13.75,0.4942,10000.0,-2.909885,0.008569,1.098462,0.376379
46592,182,13.75,0.4942,10000.0,-0.073787,0.058439,1.098458,0.051181
46848,183,13.75,0.4942,10000.0,1.152373,0.153089,1.098466,0.787097
47104,184,13.75,0.4942,10000.0,-2.104269,0.016269,1.098492,0.335855
47360,185,13.75,0.4942,10000.0,-2.004142,0.013558,1.098459,0.335778
47616,186,13.75,0.4942,10000.0,1.014709,0.14564,1.098449,0.694802
47872,187,13.75,0.4942,10000.0,-1.580196,0.010164,1.098499,0.256725
48128,188,13.75,0.4942,10000.0,-2.320408,0.020605,1.098479,0.366294
48384,189,13.75,0.4942,10000.0,-1.731186,0.004305,1.098431,0.179757
48640,190,13.75,0.4942,10000.0,-0.864604,0.003438,1.098456,0.115721
48896,191,13.75,0.4942,10000.0,1.015188,0.198842,1.098467,0.791785
49152,192,13.75,0.4942,10000.0,-1.629596,0.005424,1.098415,0.273834
49408,193,13.75,0.4942,10000.0,-2.06349,0.005229,1.098402,0.219352
49664,194,13.75,0.4942,10000.0,-2.680568,0.00518,1.098433,0.208773
49920,195,13.75,0.4942,10000.0,-2.226772,0.007766,1.098417,0.289153
50176,196,14.0,0.4954,10000.0,0.824939,0.11653,1.098465,0.532947
50432,197,14.0,0.4954,10000.0,-1.343393,0.004071,1.098403,0.190777
50688,198,14.0,0.4954,10000.0,-1.512233,0.003584,1.098394,0.276551
50944,199,14.0,0.4954,10000.0,0.81682,0.11243,1.098427,0.548075
51200,200,14.0,0.4954,10000.0,-1.374833,0.01238,1.098457,0.241577
51456,201,14.0,0.4954,10000.0,0.962775,0.1064,1.09847,0.559539
51712,202,14.0,0.4954,10000.0,-0.761818,0.006308,1.098433,0.13767
51968,203,14.0,0.4954,10000.0,1.152,0.132479,1.098469,0.714774
52224,204,14.0,0.4954,10000.0,-1.616024,0.007311,1.098446,0.211101
52480,205,14.0,0.4954,10000.0,-1.987655,0.017863,1.098456,0.340652
52736,206,14.0,0.4954,10000.0,-1.570775,0.003607,1.098409,0.22757
52992,207,14.0,0.4954,10000.0,-2.192492,0.013943,1.098446,0.328055
53248,208,14.0,0.4954,10000.0,-1.670017,0.011043,1.098416,0.304001
53504,209,14.0,0.4954,10000.0,-1.200127,0.003683,1.098401,0.134574
53760,210,14.0,0.4954,10000.0,-0.470697,0.003388,1.098421,0.065549
54016,211,14.0,0.4954,10000.0,0.025033,0.059197,1.098441,0.046414
54272,212,14.0,0.4954,10000.0,0.88463,0.147218,1.098454,0.682782
54528,213,14.0,0.4954,10000.0,0.772016,0.240558,1.098417,0.745431
54784,214,14.0,0.4954,10000.0,-0.846347,0.007134,1.098428,0.172401
55040,215,14.0,0.4954,10000.0,-0.042722,0.078099,1.098445,0.053487
55296,216,14.0,0.4954,10000.0,1.286371,0.12748,1.098425,0.754509
55552,217,14.0,0.4954,10000.0,-0.403022,0.002027,1.098416,0.046549
55808,218,14.0,0.4954,10000.0,-0.249156,0.040988,1.098428,0.131157
56064,219,14.0,0.4954,10000.0,0.854044,0.145331,1.098414,0.670914
56320,220,14.0,0.4954,10000.0,0.836907,0.09526,1.09845,0.494445
56576,221,14.0,0.4954,10000.0,0.682622,0.1095,1.098443,0.470052
56832,222,14.0,0.4954,10000.0,-2.248639,0.012226,1.098396,0.31838
57088,223,14.0,0.4954,10000.0,-1.447688,0.009498,1.098378,0.250695
57344,224,14.0,0.4954,10000.0,-1.91842,0.021339,1.098419,0.372722
57600,225,14.0,0.4954,10000.0,-1.62655,0.019765,1.098409,0.367936
57856,226,14.0,0.4954,10000.0,-3.338176,0.01864,1.098369,0.522494
58112,227,14.0,0.4954,10000.0,1.178898,0.190747,1.098312,0.889927
58368,228,14.0,0.4954,10000.0,0.075969,0.058746,1.098387,0.081127
58624,229,14.0,0.4954,10000.0,-2.439719,0.018803,1.098274,0.420545
58880,230,14.0,0.4954,10000.0,0.902841,0.123602,1.098315,0.616588
59136,231,14.0,0.4954,10000.0,-3.363518,0.009398,1.098294,0.320234
59392,232,14.0,0.4954,10000.0,1.137408,0.37298,1.09827,1.238451
59648,233,14.0,0.4954,10000.0,-1.745124,0.009442,1.098185,0.235226
59904,234,14.0,0.4954,10000.0,-1.658036,0.017985,1.098215,0.35753
60160,235,14.8333,0.515,10000.0,-1.576335,0.021423,1.098198,0.378172
60416,236,14.8333,0.515,10000.0,-2.157048,0.021645,1.098199,0.382379
60672,237,14.8333,0.515,10000.0,-0.573344,0.016541,1.09808,0.17965
60928,238,14.8333,0.515,10000.0,1.050434,0.133055,1.09806,0.693466
61184,239,14.8333,0.515,10000.0,1.021886,0.109892,1.098006,0.646716
61440,240,14.8333,0.515,10000.0,-1.131936,0.013761,1.09803,0.25077
61696,241,14.8333,0.515,10000.0,-0.194217,0.039499,1.098034,0.114801
61952,242,14.8333,0.515,10000.0,-1.707178,0.009195,1.097999,0.252822
62208,243,14.8333,0.515,10000.0,-1.546815,0.013753,1.098084,0.270664
62464,244,14.8333,0.515,10000.0,-0.158394,0.047244,1.098006,0.085543
62720,245,14.8333,0.515,10000.0,-2.621449,0.008609,1.098003,0.287955
62976,246,14.8333,0.515,10000.0,0.402661,0.073451,1.097916,0.244311
63232,247,14.8333,0.515,10000.0,-1.426921,0.00946,1.097858,0.291348
63488,248,14.8333,0.515,10000.0,-1.970398,0.024833,1.09807,0.37931
63744,249,14.8333,0.515,10000.0,-0.605809,0.001556,1.097932,0.063425
64000,250,14.8333,0.515,10000.0,-0.860848,0.002778,1.097831,0.147422
64256,251,14.8333,0.515,10000.0,-0.976533,0.003327,1.097967,0.14236
64512,252,14.8333,0.515,10000.0,-1.779906,0.008166,1.097965,0.256107
64768,253,14.8333,0.515,10000.0,1.264117,0.130133,1.09795,0.767419
65024,254,14.8333,0.515,10000.0,0.869591,0.168255,1.097937,0.701568
65280,255,14.8333,0.515,10000.0,0.168793,0.001478,1.097952,0.024465
65536,256,14.8333,0.515,10000.0,0.047349,0.006546,1.097907,0.034358
65792,257,14.8333,0.515,10000.0,-0.463331,0.001053,1.097947,0.038196
66048,258,14.8333,0.515,10000.0,-0.501677,0.001277,1.097956,0.043507
66304,259,14.8333,0.515,10000.0,0.237482,0.002341,1.097965,0.034865
66560,260,14.8333,0.515,10000.0,-1.200891,0.001886,1.097934,0.144968
66816,261,14.8333,0.515,10000.0,-0.680779,0.003854,1.098141,0.095298
67072,262,14.8333,0.515,10000.0,0.169822,0.000997,1.098068,0.018986
67328,263,14.8333,0.515,10000.0,-1.473029,0.007629,1.09821,0.258579
67584,264,14.8333,0.515,10000.0,-0.856085,0.003941,1.098047,0.111483
67840,265,14.8333,0.515,10000.0,0.63665,0.119584,1.098124,0.45176
68096,266,14.8333,0.515,10000.0,0.082178,0.001366,1.098016,0.012088
68352,267,14.8333,0.515,10000.0,-0.883898,0.000683,1.098067,0.068458
68608,268,14.8333,0.515,10000.0,1.657647,0.170411,1.097999,0.918456
68864,269,14.8333,0.515,10000.0,-1.348778,0.006246,1.098066,0.181895
69120,270,14.8333,0.515,10000.0,-1.949364,0.005193,1.098091,0.185185
69376,271,14.8333,0.515,10000.0,-1.572728,0.004083,1.098097,0.23011
69632,272,14.8333,0.515,10000.0,-0.694161,0.001096,1.097977,0.057004
69888,273,14.8333,0.515,10000.0,-0.453877,0.000871,1.098074,0.035838
70144,274,14.2857,0.4975,10000.0,1.218189,0.223578,1.098153,0.953177
70400,275,14.2857,0.4975,10000.0,-1.436187,0.000743,1.098129,0.079249
70656,276,14.2857,0.4975,10000.0,-1.776607,0.006581,1.098204,0.226213
70912,277,14.2857,0.4975,10000.0,0.868795,0.35904,1.098262,0.966697
71168,278,14.2857,0.4975,10000.0,0.223316,0.067163,1.098126,0.13292
71424,279,14.2857,0.4975,10000.0,-0.187831,0.000887,1.098234,0.019248
71680,280,14.2857,0.4975,10000.0,0.807746,0.112374,1.098155,0.54234
71936,281,14.2857,0.4975,10000.0,0.938205,0.156289,1.098111,0.693704
72192,282,14.2857,0.4975,10000.0,1.286876,0.135891,1.098121,0.765394
72448,283,14.2857,0.4975,10000.0,-3.398071,0.005288,1.098155,0.227569
72704,284,14.2857,0.4975,10000.0,0.965266,0.141003,1.098153,0.670267
72960,285,14.2857,0.4975,10000.0,-2.235757,0.010075,1.098143,0.39169
73216,286,14.2857,0.4975,10000.0,-1.376184,0.011596,1.09823,0.26955
73472,287,14.2857,0.4975,10000.0,0.553597,0.086533,1.09829,0.347819
73728,288,14.2857,0.4975,10000.0,0.729268,0.111082,1.09836,0.493788
73984,289,14.2857,0.4975,10000.0,-0.116,0.052322,1.098269,0.10756
