steps,rollout,mean_return,mean_episode_length,policy_loss,value_loss,entropy,sr_loss,grad_norm
52992,207,25.7396,550.0,-0.006692,0.557211,1.097999,0.042691,0.353029
53248,208,25.7396,550.0,0.003663,0.142386,1.098038,0.044546,0.175589
53504,209,25.7113,550.0,0.004316,0.62059,1.098068,0.043526,0.173786
53760,210,25.7113,550.0,0.045155,0.776196,1.098115,0.045953,2.176869
54016,211,25.7959,550.0,0.003932,0.508156,1.098119,0.043792,0.159578
54272,212,25.7959,550.0,0.009602,0.255737,1.098151,0.045918,0.426561
54528,213,25.7677,550.0,0.005143,0.31174,1.098157,0.045997,0.207135
54784,214,25.7677,550.0,-0.003313,0.27133,1.098143,0.045298,0.162714
55040,215,25.73,550.0,-0.005215,0.452321,1.098153,0.046078,0.285225
55296,216,25.73,550.0,0.001121,0.187851,1.098157,0.045777,0.045484
55552,217,25.7,550.0,0.007183,0.442979,1.098168,0.04562,0.319045
55808,218,25.7,550.0,0.066266,1.610292,1.098158,0.044678,3.019802
56064,219,25.7,550.0,0.009264,0.353702,1.09816,0.045758,0.430279
56320,220,25.71,550.0,0.050165,0.852524,1.098137,0.044718,2.168114
56576,221,25.71,550.0,-0.01785,0.232095,1.098122,0.044847,0.843947
56832,222,25.71,550.0,0.019296,0.574227,1.098105,0.044079,0.860624
57088,223,25.71,550.0,0.017866,0.402719,1.098099,0.044779,0.796459
57344,224,25.72,550.0,0.008764,0.564158,1.098098,0.045027,0.374014
57600,225,25.72,550.0,0.025172,0.425707,1.098086,0.044698,1.214435
57856,226,25.79,550.0,-0.017608,0.454145,1.098088,0.044147,0.908102
58112,227,25.79,550.0,0.037751,0.663431,1.098104,0.046199,1.823952
58368,228,25.93,550.0,0.016453,0.394253,1.098107,0.046981,0.784353
58624,229,25.93,550.0,0.019983,0.293943,1.098069,0.046274,1.03668
58880,230,25.91,550.0,-0.03929,0.747405,1.098035,0.045909,2.12392
59136,231,25.91,550.0,-0.005774,0.199853,1.098011,0.046122,0.299022
59392,232,25.91,550.0,0.019283,0.414212,1.098006,0.047834,1.061408
59648,233,25.93,550.0,-0.028956,0.481413,1.097923,0.04515,1.58836
59904,234,25.93,550.0,-0.007198,0.306712,1.097861,0.047352,0.379876
60160,235,25.93,550.0,-0.011783,0.287495,1.097833,0.048381,0.693983
60416,236,25.93,550.0,0.008253,0.540121,1.097817,0.047873,0.451806
60672,237,25.99,550.0,-0.063457,1.363766,1.097759,0.045401,3.489746
60928,238,25.99,550.0,0.019082,0.339537,1.09775,0.048412,1.041569
61184,239,26.06,550.0,-0.023927,0.413209,1.097638,0.045946,1.305595
61440,240,26.06,550.0,-0.02553,0.762889,1.097561,0.047857,1.418265
61696,241,26.07,550.0,0.002114,0.305661,1.097495,0.046356,0.079522
61952,242,26.07,550.0,0.012576,0.213106,1.097456,0.046835,0.653724
62208,243,26.12,550.0,0.001791,0.283814,1.097427,0.046909,0.07212
62464,244,26.12,550.0,-0.008158,0.255768,1.097378,0.046966,0.44091
62720,245,26.03,550.0,-0.017493,0.424375,1.09738,0.047852,0.970365
62976,246,26.03,550.0,-0.024704,0.478268,1.097307,0.043568,1.255826
63232,247,26.03,550.0,-0.003543,0.271199,1.097357,0.048461,0.197295
63488,248,25.95,550.0,-0.014621,0.36264,1.097303,0.0464,0.773757
63744,249,25.95,550.0,-0.003113,0.111626,1.097295,0.045938,0.154098
64000,250,25.93,550.0,-0.010999,0.319175,1.097334,0.046145,0.590734
64256,251,25.93,550.0,0.010322,0.200342,1.097375,0.046993,0.514052
64512,252,25.89,550.0,-0.010082,0.615182,1.097373,0.047143,0.557201
64768,253,25.89,550.0,-0.009875,0.257611,1.097361,0.044073,0.430499
65024,254,25.82,550.0,0.018449,0.352851,1.097385,0.044299,0.812824
65280,255,25.82,550.0,0.037583,0.523178,1.097433,0.045464,1.717595
65536,256,25.83,550.0,-0.011225,0.390471,1.097468,0.046263,0.533806
65792,257,25.83,550.0,0.032871,0.644613,1.097509,0.045087,1.474473
66048,258,25.88,550.0,0.021078,0.395052,1.09759,0.045732,0.924499
66304,259,25.88,550.0,-0.000451,0.147266,1.097564,0.043553,0.03492
66560,260,25.78,550.0,-0.004229,0.384594,1.097615,0.044891,0.191254
66816,261,25.78,550.0,-0.015889,0.262901,1.097642,0.04489,0.702972
67072,262,25.78,550.0,0.003241,0.277116,1.097649,0.044395,0.136539
67328,263,25.63,550.0,0.008059,0.404983,1.097683,0.045212,0.348554
67584,264,25.63,550.0,0.002278,0.312025,1.097718,0.046685,0.094408
67840,265,25.64,550.0,0.028876,0.462058,1.097667,0.044296,1.228307
68096,266,25.64,550.0,0.021921,0.660151,1.097726,0.046996,0.998663
68352,267,25.64,550.0,0.006923,0.237188,1.097663,0.045943,0.278236
68608,268,25.64,550.0,0.024809,0.454726,1.097616,0.046106,1.127146
68864,269,25.64,550.0,-0.010745,0.219151,1.097544,0.045657,0.52333
69120,270,25.64,550.0,0.008983,0.208477,1.097517,0.04556,0.410989
69376,271,25.69,550.0,0.011525,0.408593,1.097493,0.045719,0.489148
69632,272,25.69,550.0,0.034378,0.627725,1.097492,0.047382,1.656043
69888,273,25.71,550.0,-0.014663,0.265803,1.097342,0.04455,0.711033
70144,274,25.71,550.0,-0.010376,0.395626,1.097287,0.046554,0.52422
70400,275,25.71,550.0,-0.016833,0.451775,1.09716,0.044099,0.750129
70656,276,25.71,550.0,0.015945,0.226459,1.097118,0.045761,0.748125
70912,277,25.71,550.0,-0.011853,0.246962,1.097024,0.046406,0.58872
71168,278,25.66,550.0,-0.02779,0.483396,1.096921,0.045478,1.294527
71424,279,25.66,550.0,-0.00142,0.410596,1.096866,0.045833,0.071931
71680,280,25.58,550.0,-0.02655,0.575241,1.09683,0.045993,1.320677
71936,281,25.58,550.0,0.027383,0.413422,1.096755,0.045049,1.270131
72192,282,25.54,550.0,-0.012946,0.434261,1.096818,0.047074,0.652536
72448,283,25.54,550.0,-0.010704,0.329284,1.096951,0.049344,0.545085
72704,284,25.52,550.0,-0.003226,0.249719,1.097035,0.047264,0.166595
72960,285,25.52,550.0,0.014099,0.315009,1.097123,0.045651,0.648868
73216,286,25.5,550.0,0.015999,0.222058,1.097273,0.04656,0.70556
73472,287,25.5,550.0,0.019191,0.367011,1.097304,0.045915,0.879989
73728,288,25.54,550.0,0.015338,0.314245,1.097332,0.045777,0.677285
73984,289,25.54,550.0,0.002308,0.199521,1.097365,0.046491,0.106755
74240,290,25.54,550.0,-0.015954,0.54778,1.097434,0.048345,0.794695
